"","nfi_plot","meas_date","time_step","meas_year"
"511",1266471,2004-09-15,"t1",2004
"512",1266471,2009-08-28,"t2",2009
"513",1266471,2018-07-23,"t3",2018
"514",1266481,2003-09-08,"t1",2003
"515",1266481,2013-08-31,"t2",2013
"516",1266491,2003-08-23,"t1",2003
"517",1266491,2009-08-31,"t2",2009
"518",1266491,2019-08-25,"t3",2019
"519",1266511,2004-09-24,"t1",2004
"520",1266511,2017-10-05,"t2",2017
"521",1266546,2003-07-29,"t1",2003
"522",1266546,2008-08-09,"t2",2008
"523",1266546,2018-08-21,"t3",2018
"524",1273001,2002-07-09,"t1",2002
"525",1273001,2017-08-18,"t2",2017
"526",1273031,2003-08-28,"t1",2003
"527",1273031,2018-07-08,"t2",2018
"528",1273421,2003-06-09,"t1",2003
"529",1273421,2018-07-31,"t2",2018
"530",1273451,2003-08-12,"t1",2003
"531",1273451,2009-08-09,"t2",2009
"532",1279861,2004-06-28,"t1",2004
"533",1279861,2017-07-22,"t2",2017
"534",1279876,2003-08-18,"t1",2003
"535",1279876,2017-07-12,"t2",2017
"536",1279966,2003-07-15,"t1",2003
"537",1279966,2018-07-06,"t2",2018
"538",1280161,2004-09-29,"t1",2004
"539",1280161,2012-08-08,"t2",2012
"540",1280171,2004-07-30,"t1",2004
"541",1280171,2014-08-07,"t2",2014
"542",1280181,2004-07-20,"t1",2004
"543",1280181,2011-07-12,"t2",2011
"544",1280191,2004-07-29,"t1",2004
"545",1280191,2016-09-05,"t2",2016
"546",1280201,2004-07-21,"t1",2004
"547",1280201,2011-07-13,"t2",2011
"548",1280211,2006-09-10,"t1",2006
"549",1280211,2015-09-02,"t2",2015
"550",1280241,2004-09-28,"t1",2004
"551",1280241,2009-08-31,"t2",2009
"552",1280241,2019-08-24,"t3",2019
"553",1280271,2004-09-25,"t1",2004
"554",1280271,2013-08-30,"t2",2013
"555",1280296,2003-07-29,"t1",2003
"556",1280296,2008-08-08,"t2",2008
"557",1280296,2018-09-10,"t3",2018
"558",1280371,2003-07-21,"t1",2003
"559",1280371,2014-07-22,"t2",2014
"560",1286741,2003-07-22,"t1",2003
"561",1286741,2017-07-20,"t2",2017
"562",1286771,2001-06-21,"t1",2001
"563",1286771,2014-07-22,"t2",2014
"564",1286856,2003-06-29,"t1",2003
"565",1286856,2019-09-06,"t2",2019
"566",1287181,2003-06-06,"t1",2003
"567",1287181,2008-06-06,"t2",2008
"568",1287251,2003-07-15,"t1",2003
"569",1287251,2009-07-11,"t2",2009
"570",1287251,2019-06-26,"t3",2019
"571",1287256,2003-08-31,"t1",2003
"572",1287256,2014-08-20,"t2",2014
"573",1287286,2003-07-04,"t1",2003
"574",1287286,2013-07-06,"t2",2013
"575",1293686,2002-08-20,"t1",2002
"576",1293686,2018-07-24,"t2",2018
"577",1293691,2002-08-19,"t1",2002
"578",1293691,2014-08-29,"t2",2014
"579",1293696,2001-06-18,"t1",2001
"580",1293696,2014-08-28,"t2",2014
"581",1293921,2006-09-18,"t1",2006
"582",1293921,2014-08-06,"t2",2014
"583",1293931,2004-07-19,"t1",2004
"584",1293931,2012-08-04,"t2",2012
"585",1294021,2003-09-04,"t1",2003
"586",1294021,2013-08-28,"t2",2013
"587",1294041,2004-09-26,"t1",2004
"588",1294041,2013-08-29,"t2",2013
"589",1294051,2004-09-25,"t1",2004
"590",1294051,2017-10-04,"t2",2017
"591",1294076,2003-07-29,"t1",2003
"592",1294076,2008-08-06,"t2",2008
"593",1294076,2018-08-25,"t3",2018
"594",1294121,2004-06-08,"t1",2004
"595",1294121,2014-06-10,"t2",2014
"596",1294166,2004-08-10,"t1",2004
"597",1294166,2009-08-07,"t2",2009
"598",1294166,2019-06-19,"t3",2019
"599",1300521,2002-07-04,"t1",2002
"600",1300521,2017-07-08,"t2",2017
"601",1300581,2001-06-13,"t1",2001
"602",1300581,2014-08-24,"t2",2014
"603",1300611,2001-07-29,"t1",2001
"604",1300611,2019-07-31,"t2",2019
"605",1307371,2003-07-25,"t1",2003
"606",1307371,2017-08-16,"t2",2017
"607",1307391,2002-07-01,"t1",2002
"608",1307391,2017-08-19,"t2",2017
"609",1307401,2001-08-28,"t1",2001
"610",1307401,2017-07-10,"t2",2017
"611",1307441,2004-06-26,"t1",2004
"612",1307441,2014-07-26,"t2",2014
"613",1307451,2001-06-15,"t1",2001
"614",1307451,2014-08-26,"t2",2014
"615",1307731,2003-09-30,"t1",2003
"616",1307731,2015-08-28,"t2",2015
"617",1307826,2003-06-04,"t1",2003
