"","nfi_plot","meas_date","biomass_total","meas_num","species_num","genus","species","variety","percent","species_rel","utm_n","utm_e","biomass_composition"
"536",1183601,"2003-JUN-21",4681.73,0,1,"PICE","GLA",NA,83.9,0.934,6400000,450000,3927.97147
"537",1183601,"2019-JUL-20",5255.11,1,2,"POPU","BAL",NA,14.7,0.069,6400000,450000,772.50117
"538",1183601,"2019-JUL-20",5255.11,1,1,"PICE","GLA",NA,85.3,0.931,6400000,450000,4482.60883
"539",1190376,"2002-JUL-24",2213.87,0,2,"POPU","BAL",NA,12.8,0.225,6380000,390000,283.37536
"540",1190376,"2002-JUL-24",2213.87,0,1,"PICE","SPP",NA,87.2,0.775,6380000,390000,1930.49464
"541",1190376,"2021-AUG-02",4398.3,1,1,"PICE","SPP",NA,88.4,0.75,6380000,390000,3888.0972
"542",1190376,"2021-AUG-02",4398.3,1,2,"POPU","BAL",NA,11.6,0.25,6380000,390000,510.2028
"543",1190456,"2003-JUL-25",14966.09,0,3,"PINU","CON","LAT",2.5,0.036,6390000,350000,374.15225
"544",1190456,"2003-JUL-25",14966.09,0,2,"ABIE","LAS",NA,11.4,0.286,6390000,350000,1706.13426
"545",1190456,"2003-JUL-25",14966.09,0,1,"PICE","ENG","GLA",86.1,0.679,6390000,350000,12885.80349
"546",1190456,"2018-JUL-14",18436.51,1,1,"PICE","ENG","GLA",86.4,0.621,6390000,350000,15929.14464
"547",1190456,"2018-JUL-14",18436.51,1,2,"ABIE","LAS",NA,13.6,0.379,6390000,350000,2507.36536
"548",1197411,"2001-JUL-24",103.32,0,1,"PICE","MAR",NA,100,1,6360000,650000,103.32
"549",1197411,"2019-SEP-08",294.02,1,2,"LARI","LAR",NA,33.5,0.333,6360000,650000,98.4967
"550",1197411,"2019-SEP-08",294.02,1,1,"PICE","MAR",NA,66.5,0.667,6360000,650000,195.5233
"551",1204261,"2003-JUN-26",1218.45,0,1,"PICE","MAR",NA,100,1,6340000,530000,1218.45
"552",1204261,"2019-JUL-26",2063.42,1,2,"PICE","GLA",NA,1.3,0.017,6340000,530000,26.82446
"553",1204261,"2019-JUL-26",2063.42,1,1,"PICE","MAR",NA,98.7,0.983,6340000,530000,2036.59554
"554",1204271,"2002-JUL-21",3462.65,0,1,"PINU","CON","LAT",93.3,0.846,6340000,570000,3230.65245
"555",1204271,"2002-JUL-21",3462.65,0,3,"PICE","MAR",NA,2.6,0.077,6340000,570000,90.0289
"556",1204271,"2002-JUL-21",3462.65,0,2,"PICE","GLA",NA,4.1,0.077,6340000,570000,141.96865
"557",1204271,"2019-JUL-27",3714.36,1,2,"PICE","GLA",NA,36.4,0.286,6340000,570000,1352.02704
"558",1204271,"2019-JUL-27",3714.36,1,3,"PINU","CON",NA,15.7,0.143,6340000,570000,583.15452
"559",1204271,"2019-JUL-27",3714.36,1,1,"PICE","MAR",NA,47.9,0.571,6340000,570000,1779.17844
"560",1204281,"2001-JUL-25",4323.89,0,2,"PICE","GLA",NA,19.2,0.213,6340000,610000,830.18688
"561",1204281,"2001-JUL-25",4323.89,0,1,"POPU","TRE",NA,74.3,0.773,6340000,610000,3212.65027
"562",1204281,"2001-JUL-25",4323.89,0,3,"PINU","CON",NA,6.5,0.013,6340000,610000,281.05285
"563",1204281,"2019-JUL-23",6604.98,1,3,"PINU","CON",NA,5.4,0.014,6340000,610000,356.66892
"564",1204281,"2019-JUL-23",6604.98,1,2,"PICE","GLA",NA,33,0.386,6340000,610000,2179.6434
"565",1204281,"2019-JUL-23",6604.98,1,1,"POPU","TRE",NA,61.5,0.6,6340000,610000,4062.0627
"566",1211016,"2002-JUL-25",4477.53,0,1,"ABIE","LAS",NA,100,1,6320000,390000,4477.53
"567",1211016,"2021-AUG-16",6301.25,1,1,"ABIE","LAS",NA,100,1,6320000,390000,6301.25
"568",1211056,"2005-JUL-17",6981.6,0,2,"PICE","ENG",NA,1.6,0.018,6320000,550000,111.7056
"569",1211056,"2005-JUL-17",6981.6,0,1,"ABIE","LAS",NA,98.4,0.982,6320000,550000,6869.8944
"570",1211056,"2018-JUL-12",7821.78,1,1,"ABIE","LAS",NA,97.8,0.981,6320000,550000,7649.70084
"571",1211056,"2018-JUL-12",7821.78,1,2,"PICE","ENG",NA,2.2,0.019,6320000,550000,172.07916
"572",1211116,"2005-JUN-18",6748.46,0,1,"PICE","ENG",NA,64.1,0.613,6330000,430000,4325.76286
"573",1211116,"2005-JUN-18",6748.46,0,2,"ABIE","LAS",NA,35.9,0.387,6330000,430000,2422.69714
"574",1211116,"2018-JUL-15",6786.06,1,2,"ABIE","LAS",NA,38.5,0.387,6330000,430000,2612.6331
"575",1211116,"2018-JUL-15",6786.06,1,1,"PICE","ENG",NA,61.5,0.613,6330000,430000,4173.4269
"576",1217986,"2003-JUL-27",7385.74,0,2,"PINU","CON","LAT",9.8,0.1,6310000,390000,723.80252
"577",1217986,"2003-JUL-27",7385.74,0,1,"ABIE","LAS",NA,89.4,0.867,6310000,390000,6602.85156
"578",1217986,"2003-JUL-27",7385.74,0,3,"PICE","ENG","GLA",0.8,0.033,6310000,390000,59.08592
"579",1217986,"2018-JUL-21",7068.54,1,3,"PINU","CON",NA,1.3,0.026,6310000,390000,91.89102
"580",1217986,"2018-JUL-21",7068.54,1,2,"PICE","ENG","GLA",1.3,0.026,6310000,390000,91.89102
"581",1217986,"2018-JUL-21",7068.54,1,1,"ABIE","LAS",NA,97.5,0.947,6310000,390000,6891.8265
"582",1217991,"2003-JUN-23",14173.25,0,3,"PINU","CON","LAT",5.4,0.041,6310000,410000,765.3555
"583",1217991,"2003-JUN-23",14173.25,0,2,"PICE","ENG","GLA",11.8,0.061,6310000,410000,1672.4435
"584",1217991,"2003-JUN-23",14173.25,0,1,"ABIE","LAS",NA,82.7,0.898,6310000,410000,11721.27775
"585",1217991,"2018-JUL-18",13075.13,1,1,"ABIE","LAS",NA,87.2,0.929,6310000,410000,11401.51336
"586",1217991,"2018-JUL-18",13075.13,1,2,"PICE","ENG","GLA",12.8,0.071,6310000,410000,1673.61664
"587",1217996,"2002-AUG-18",3261.82,0,1,"PICE","GLA",NA,98.7,0.95,6310000,430000,3219.41634
"588",1217996,"2002-AUG-18",3261.82,0,2,"ABIE","LAS",NA,1.3,0.05,6310000,430000,42.40366
"589",1217996,"2018-JUL-11",4509.53,1,1,"PICE","GLA",NA,98.3,0.923,6310000,430000,4432.86799
"590",1217996,"2018-JUL-11",4509.53,1,2,"ABIE","LAS",NA,1.7,0.077,6310000,430000,76.66201
