"","nfi_plot","loc_id","meas_num","species_num","genus","species","variety","percent","species_ltrel","meas_date","utm_n","utm_e"
"212",1280371,0,0,1,"POPU","TRE","",100,1,"2003-JUL-21",5730000,620000
"213",1280371,0,1,1,"POPU","TRE","",100,1,"2014-JUL-22",5730000,620000
"214",1287181,0,0,4,"BETU","PAP","PAP",16,0.074,"2003-JUN-06",5810000,350000
"215",1287181,0,0,5,"PINU","BAN","",6.7,0.037,"2003-JUN-06",5810000,350000
"216",1287181,0,1,5,"PINU","BAN","",7.2,0.048,"2008-JUN-06",5810000,350000
"217",1287251,0,0,1,"PICE","MAR","",93.4,0.875,"2003-JUL-15",5710000,610000
"218",1287251,0,0,2,"ABIE","BAL","",6.6,0.125,"2003-JUL-15",5710000,610000
"219",1287251,0,1,1,"PICE","MAR","",58.7,0.444,"2009-JUL-11",5710000,610000
"220",1287251,0,1,2,"ABIE","BAL","",22.5,0.296,"2009-JUL-11",5710000,610000
"221",1287251,0,1,3,"BETU","PAP","",18.8,0.259,"2009-JUL-11",5710000,610000
"222",1287251,0,2,3,"ABIE","BAL","",21.9,0.241,"2019-JUN-26",5710000,610000
"223",1287251,0,2,4,"PICE","GLA","",0.9,0.019,"2019-JUN-26",5710000,610000
"224",1287256,0,0,1,"ABIE","BAL","",59.9,0.804,"2003-AUG-31",5700000,630000
"225",1287256,0,0,3,"PICE","GLA","",13.8,0.065,"2003-AUG-31",5700000,630000
"226",1287256,0,1,1,"ABIE","BAL","",67.8,0.865,"2014-AUG-20",5700000,630000
"227",1287286,0,0,1,"PICE","MAR","",56.3,0.667,"2003-JUL-04",5650000,320000
"228",1287286,0,0,2,"PINU","BAN","",43.7,0.333,"2003-JUL-04",5650000,320000
"229",1287286,0,1,1,"PICE","MAR","",63.8,0.732,"2013-JUL-06",5650000,320000
"230",1287286,0,1,2,"PINU","BAN","",36.2,0.268,"2013-JUL-06",5650000,320000
"231",1294076,0,0,1,"PINU","BAN","",74.1,0.75,"2003-JUL-29",5770000,400000
"232",1294076,0,0,2,"LARI","LAR","",25.9,0.25,"2003-JUL-29",5770000,400000
"233",1294076,0,1,1,"PINU","BAN","",73.6,0.778,"2008-AUG-06",5770000,400000
"234",1294076,0,1,2,"LARI","LAR","",26.4,0.222,"2008-AUG-06",5770000,400000
"235",1294076,0,2,3,"PICE","MAR","",5.8,0.067,"2018-AUG-25",5770000,400000
"236",1294121,0,1,1,"POPU","BAL","",87.5,0.867,"2014-JUN-10",5710000,570000
"237",1294121,0,1,2,"POPU","TRE","",12.5,0.133,"2014-JUN-10",5710000,570000
"238",1294161,0,0,1,"PINU","BAN","",88.7,0.898,"2003-JUN-19",5640000,290000
"239",1294161,0,1,1,"PINU","BAN","",84.6,0.857,"2013-JUL-04",5640000,290000
"240",1294166,0,0,1,"PINU","BAN","",100,1,"2004-AUG-10",5640000,310000
"241",1294166,0,1,1,"PINU","BAN","",100,1,"2009-AUG-07",5640000,310000
"242",1294166,0,2,1,"PINU","BAN","",100,1,"2019-JUN-19",5640000,310000
"243",1307826,0,0,1,"POPU","TRE","",85.7,0.854,"2003-JUN-04",5750000,350000
"244",1307826,0,0,3,"POPU","SPP","",6.4,0.042,"2003-JUN-04",5750000,350000
"245",1307826,0,1,1,"POPU","TRE","",90.4,0.833,"2008-JUN-10",5750000,350000
"246",1307926,0,0,3,"PICE","GLA","",8.5,0.048,"2003-AUG-30",5600000,290000
"247",1307926,0,1,3,"PICE","GLA","",8.8,0.051,"2009-AUG-19",5600000,720000
"248",1307926,0,1,4,"ABIE","BAL","",0.8,0.026,"2009-AUG-19",5600000,720000
"249",1307926,0,2,3,"PICE","GLA","",9.4,0.049,"2019-SEP-19",5600000,720000
"250",1307926,0,2,4,"ABIE","BAL","",0.9,0.024,"2019-SEP-19",5600000,720000
"251",1314711,0,0,1,"POPU","TRE","",90.5,0.918,"2003-JUN-07",5720000,360000
"252",1314711,0,1,1,"POPU","TRE","",87.1,0.885,"2008-JUN-22",5720000,360000
"253",1314711,0,1,2,"PICE","GLA","",6.1,0.058,"2008-JUN-22",5720000,360000
"254",1314711,0,2,1,"POPU","TRE","",77.3,0.8,"2018-AUG-24",5720000,360000
"255",1314711,0,2,2,"PICE","MAR","",10.7,0.13,"2018-AUG-24",5720000,360000
"256",1314711,0,2,3,"PICE","GLA","",8.3,0.052,"2018-AUG-24",5720000,360000
"257",1314711,0,2,4,"POPU","BAL","",3.6,0.017,"2018-AUG-24",5720000,360000
"258",1314811,0,0,1,"POPU","TRE","",59.6,0.826,"2003-JUN-05",5570000,300000
"259",1314811,0,0,2,"PICE","GLA","",22.3,0.13,"2003-JUN-05",5570000,300000
"260",1314811,0,0,3,"ABIE","BAL","",18.1,0.043,"2003-JUN-05",5570000,300000
"261",1314811,0,1,1,"POPU","TRE","",61,0.778,"2009-JUN-03",5570000,300000
"262",1314811,0,1,2,"PICE","GLA","",22.6,0.148,"2009-JUN-03",5570000,300000
"263",1314811,0,1,3,"ABIE","BAL","",16.4,0.074,"2009-JUN-03",5570000,300000
"264",1314811,0,2,1,"POPU","TRE","",69,0.853,"2019-JUN-22",5570000,730000
"265",1314811,0,2,2,"PICE","GLA","",25.5,0.118,"2019-JUN-22",5570000,730000
"266",1314811,0,2,3,"ABIE","BAL","",5.4,0.029,"2019-JUN-22",5570000,730000
"267",1321586,0,0,1,"POPU","TRE","",84.2,0.919,"2003-JUN-03",5710000,330000
"268",1321586,0,1,1,"POPU","TRE","",83.6,0.92,"2008-JUN-23",5710000,330000
